,Unnamed: 0,date,time,abstract,sentiment_score,sentiment_score1,neg_sentiment,neu_sentiment,pos_sentiment,compound_sentiment
11,11,2019-06-10,15:33:13+0000,"The Federal Reserve has gone from lifting rates to watching for signs that a cut is needed, but President Trump is still blasting its policies.","{'neg': 0.063, 'neu': 0.937, 'pos': 0.0, 'compound': -0.1406}","{'neg': 0.063, 'neu': 0.937, 'pos': 0.0, 'compound': -0.1406}",0.063,0.937,0.0,-0.1406
12,12,2019-06-10,23:13:53+0000,President Trump backed off his threat to impose tariffs on Mexico last week — but the encounter suggests more tariffs could be on the way,"{'neg': 0.147, 'neu': 0.812, 'pos': 0.041, 'compound': -0.4118}","{'neg': 0.147, 'neu': 0.812, 'pos': 0.041, 'compound': -0.4118}",0.147,0.812,0.041,-0.4118
13,13,2019-06-09,22:02:11+0000,"After a weak jobs report and amid continued trade tensions, many Federal Reserve watchers are looking for rate cuts this summer or fall.","{'neg': 0.291, 'neu': 0.709, 'pos': 0.0, 'compound': -0.7783}","{'neg': 0.291, 'neu': 0.709, 'pos': 0.0, 'compound': -0.7783}",0.291,0.709,0.0,-0.7783
14,14,2019-06-07,11:00:04+0000,"A sharp decline in the pace of hiring in May, especially in sectors dependent on trade, suggests that the president’s tariffs are starting to bite.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
15,15,2019-06-04,13:55:06+0000,"Jerome H. Powell, the Federal Reserve chairman, said the central bank was “closely monitoring” trade and “as always, we will act as appropriate” to sustain the expansion.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
16,16,2019-06-03,21:05:49+0000,Expectations that the Federal Reserve will start dropping interest rates have surged in recent days.,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.4588}","{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.4588}",0.0,0.824,0.176,0.4588
17,17,2019-06-05,10:45:10+0000,The Fed’s chairman hinted that the central bank could act to sustain economic expansion — but he did not explicitly say that it would cut rates.,"{'neg': 0.099, 'neu': 0.901, 'pos': 0.0, 'compound': -0.3919}","{'neg': 0.099, 'neu': 0.901, 'pos': 0.0, 'compound': -0.3919}",0.099,0.901,0.0,-0.3919
18,18,2019-05-31,13:26:16+0000,A furious month of tariff threats has rattled investors and raised concerns about growth slowdowns in the United States and around the world.,"{'neg': 0.217, 'neu': 0.602, 'pos': 0.181, 'compound': -0.2732}","{'neg': 0.217, 'neu': 0.602, 'pos': 0.181, 'compound': -0.2732}",0.217,0.602,0.181,-0.2732
19,19,2019-05-23,16:01:26+0000,"Household finances are improving in a strong job market, but just six in 10 adults still could cover a surprise expense without selling something or borrowing money.","{'neg': 0.0, 'neu': 0.767, 'pos': 0.233, 'compound': 0.6908}","{'neg': 0.0, 'neu': 0.767, 'pos': 0.233, 'compound': 0.6908}",0.0,0.767,0.233,0.6908
20,20,2019-05-22,18:42:49+0000,"Federal Reserve officials said they were committed to a “patient approach,” even if the economy strengthened, and some were worried about persistently low inflation.","{'neg': 0.152, 'neu': 0.674, 'pos': 0.174, 'compound': 0.1531}","{'neg': 0.152, 'neu': 0.674, 'pos': 0.174, 'compound': 0.1531}",0.152,0.674,0.174,0.1531
21,21,2019-05-21,19:00:08+0000,"Judy Shelton, a longtime Fed critic who favors gradually taking interest rates to zero, is being considered for a seat on the board of governors.","{'neg': 0.077, 'neu': 0.738, 'pos': 0.185, 'compound': 0.4404}","{'neg': 0.077, 'neu': 0.738, 'pos': 0.185, 'compound': 0.4404}",0.077,0.738,0.185,0.4404
22,22,2019-05-16,16:31:18+0000,"Several officials expressed concern that low inflation could become permanent, hamstringing the Fed’s room to cut interest rates next time the economy weakens.","{'neg': 0.228, 'neu': 0.667, 'pos': 0.105, 'compound': -0.3612}","{'neg': 0.228, 'neu': 0.667, 'pos': 0.105, 'compound': -0.3612}",0.228,0.667,0.105,-0.3612
23,23,2019-05-01,18:04:22+0000,"The Fed is continuing its “patient” stance as it considers its next move, but weak inflation could force it to walk a policy tightrope.","{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.5927}","{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.5927}",0.149,0.851,0.0,-0.5927
24,24,2019-04-30,22:01:40+0000,The president wants the Fed to cut rates and stimulate the economy. But the Fed appears poised to continue its patient stance at its meeting that ends Wednesday.,"{'neg': 0.068, 'neu': 0.806, 'pos': 0.126, 'compound': 0.2023}","{'neg': 0.068, 'neu': 0.806, 'pos': 0.126, 'compound': 0.2023}",0.068,0.806,0.126,0.2023
25,25,2019-04-26,09:00:12+0000,A 3.2% growth rate in the first quarter beats the forecasts and offers Trump a political lift.,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.3818}","{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.3818}",0.0,0.843,0.157,0.3818
26,26,2019-04-23,20:01:51+0000,"The bull market lives, thanks to the Federal Reserve’s new, more relaxed approach to interest rates.","{'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.8553}","{'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.8553}",0.0,0.581,0.419,0.8553
27,27,2019-04-23,18:09:13+0000,President Trump’s presumptive nominee for the Federal Reserve has written numerous pieces over the years that include disparaging statements about women and gender equity.,"{'neg': 0.122, 'neu': 0.878, 'pos': 0.0, 'compound': -0.4939}","{'neg': 0.122, 'neu': 0.878, 'pos': 0.0, 'compound': -0.4939}",0.122,0.878,0.0,-0.4939
28,28,2019-04-23,10:29:57+0000,"The business man no longer wants to join the Fed’s board, citing a pay cut that would make others tell their boss “where to go.”","{'neg': 0.204, 'neu': 0.717, 'pos': 0.079, 'compound': -0.3612}","{'neg': 0.204, 'neu': 0.717, 'pos': 0.079, 'compound': -0.3612}",0.204,0.717,0.079,-0.3612
29,29,2019-04-13,16:07:29+0000,"How Jerome H. Powell handles the next few months will be a critical test of his leadership skills, as he tries to guide the bank through a highly uncertain moment in the global economy.","{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.5849}","{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.5849}",0.138,0.862,0.0,-0.5849
30,30,2019-04-11,20:04:17+0000,"Four Republican senators have expressed concern about President Trump’s potential pick for the Fed, making Mr. Cain’s nomination all but dead.","{'neg': 0.229, 'neu': 0.771, 'pos': 0.0, 'compound': -0.7876}","{'neg': 0.229, 'neu': 0.771, 'pos': 0.0, 'compound': -0.7876}",0.229,0.771,0.0,-0.7876
31,31,2019-04-05,15:30:14+0000,President Trump said on Friday that he wanted another round of quantitative easing from the central bank.,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.25}","{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.25}",0.0,0.889,0.111,0.25
32,32,2019-04-02,00:15:57+0000,"A request by Stephen Moore’s former wife to keep them sealed, which will be the subject of a Friday hearing in Circuit Court, adds to the controversy surrounding his pending nomination.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
33,33,2019-03-29,19:24:49+0000,"Filling the job held by Timothy F. Sloan, who resigned abruptly, could only add to the troubled bank’s challenges.","{'neg': 0.224, 'neu': 0.717, 'pos': 0.058, 'compound': -0.5719}","{'neg': 0.224, 'neu': 0.717, 'pos': 0.058, 'compound': -0.5719}",0.224,0.717,0.058,-0.5719
34,34,2019-03-26,21:58:30+0000,"In an interview, Stephen Moore maintained his view that rate increases were wrong, but said he regretted his harsh criticism of Federal Reserve Chairman Jerome H. Powell over them.","{'neg': 0.345, 'neu': 0.655, 'pos': 0.0, 'compound': -0.9209}","{'neg': 0.345, 'neu': 0.655, 'pos': 0.0, 'compound': -0.9209}",0.345,0.655,0.0,-0.9209
35,35,2019-03-22,18:14:21+0000,"When long-term interest rates fall below short-term rates, it’s called a yield curve inversion. It’s one of Wall Street’s favored predictors of a recession, and it happened on Friday.","{'neg': 0.086, 'neu': 0.736, 'pos': 0.178, 'compound': 0.4588}","{'neg': 0.086, 'neu': 0.736, 'pos': 0.178, 'compound': 0.4588}",0.086,0.736,0.178,0.4588
36,36,2019-03-20,09:00:12+0000,"Investors have finally started to chase this year’s stock market rally, which has been driven largely by the Federal Reserve’s sharp turn away from steady rate increases.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
37,37,2019-03-21,10:17:07+0000,"Central bank forecasts suggest that it won’t raise rates this year, and Wall Street couldn’t be happier.","{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.5267}","{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.5267}",0.0,0.825,0.175,0.5267
38,38,2019-03-08,17:32:41+0000,"With online banks offering certificates of deposit that pay more than 2 percent, some experts suggest putting cash in several C.D.s with different terms.","{'neg': 0.06, 'neu': 0.94, 'pos': 0.0, 'compound': -0.1027}","{'neg': 0.06, 'neu': 0.94, 'pos': 0.0, 'compound': -0.1027}",0.06,0.94,0.0,-0.1027
39,39,2019-02-22,11:00:04+0000,"Prices of stocks and bonds are not supposed to rise and fall in tandem, but a rebound in both markets shows both optimism and caution from investors.","{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.6956}","{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.6956}",0.0,0.84,0.16,0.6956
40,40,2019-02-20,19:32:45+0000,The Fed released minutes of its January meeting showing officials continued to express confidence in the economy but saw enough warning signs to warrant a pause in rate increases.,"{'neg': 0.099, 'neu': 0.832, 'pos': 0.069, 'compound': -0.2382}","{'neg': 0.099, 'neu': 0.832, 'pos': 0.069, 'compound': -0.2382}",0.099,0.832,0.069,-0.2382
41,41,2019-02-16,18:51:57+0000,"Plus, tax season brings bad news, and the Fed offers more clues about its change of heart.","{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.5423}","{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.5423}",0.179,0.821,0.0,-0.5423
42,42,2019-02-15,16:52:20+0000,"Part of the increase in cost is the result of the “trickle-down” of luxury features, one car expert says. Safety features are also adding to the price.","{'neg': 0.0, 'neu': 0.831, 'pos': 0.169, 'compound': 0.6249}","{'neg': 0.0, 'neu': 0.831, 'pos': 0.169, 'compound': 0.6249}",0.0,0.831,0.169,0.6249
43,43,2019-02-10,20:52:16+0000,The central bank’s new friendly tone cascaded through the financial world in ways large and small. A look at the consequences.,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4939}","{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4939}",0.0,0.856,0.144,0.4939
44,44,2019-02-01,22:29:56+0000,"The Fed’s newfound patience on raising interest rates is just what President Trump wanted. Its explanation, however, is unlikely to please him.","{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.6486}","{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.6486}",0.0,0.791,0.209,0.6486
45,45,2019-01-31,20:08:11+0000,There are consequences whether you have a savings account or a credit card (or both).,"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.3818}","{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.3818}",0.0,0.822,0.178,0.3818
46,46,2019-01-31,00:01:06+0000,It’s not China. It’s not the shutdown’s aftermath. The latest obsession of investors is the Fed’s plan to reduce the stockpile of bonds it bought during and after the Great Recession.,"{'neg': 0.139, 'neu': 0.751, 'pos': 0.11, 'compound': -0.0258}","{'neg': 0.139, 'neu': 0.751, 'pos': 0.11, 'compound': -0.0258}",0.139,0.751,0.11,-0.0258
47,47,2019-01-31,11:51:22+0000,"The central bank signaled that its march toward higher interest rates may be ending sooner than expected, and investors cheered.","{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.743}","{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.743}",0.0,0.741,0.259,0.743
48,48,2019-01-28,18:03:54+0000,"Forecasters, investors and policymakers lack many of the reports they rely on, just as concerns grow that the nation’s economic expansion could be ending.","{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.3182}","{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.3182}",0.091,0.909,0.0,-0.3182
49,49,2019-01-20,08:00:03+0000,The year began with repeated public assurances from Fed officials that they would remain sensitive to changes in the economy. And the markets’ anxiety has eased.,"{'neg': 0.058, 'neu': 0.785, 'pos': 0.157, 'compound': 0.4404}","{'neg': 0.058, 'neu': 0.785, 'pos': 0.157, 'compound': 0.4404}",0.058,0.785,0.157,0.4404
50,50,2019-01-09,19:15:45+0000,"Fed minutes and comments by officials signal that the central bank will not raise rates at its next meeting, in January, and is unlikely to do so at the following meeting, in March.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
51,51,2019-01-04,15:36:33+0000,"Jerome H. Powell, the Federal Reserve chairman, also said that if asked to resign by President Trump, he would refuse.","{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.5574}","{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.5574}",0.204,0.796,0.0,-0.5574
52,52,2019-01-04,10:00:09+0000,"A December gain of 312,000 jobs sent stocks up more than 3 percent, and the Federal Reserve chairman offered soothing words on the central bank’s plans.","{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.6908}","{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.6908}",0.0,0.794,0.206,0.6908
53,53,2019-06-03,09:00:14+0000,"Google, Facebook, Amazon and Apple are facing greater scrutiny from antitrust regulators in the Justice Department and Federal Trade Commission.","{'neg': 0.0, 'neu': 0.691, 'pos': 0.309, 'compound': 0.765}","{'neg': 0.0, 'neu': 0.691, 'pos': 0.309, 'compound': 0.765}",0.0,0.691,0.309,0.765
54,54,2019-06-25,04:48:46+0000,Some Democrats in Congress fear the funds would be used to carry out President Trump’s aggressive immigration policies.,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.5859}","{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.5859}",0.231,0.769,0.0,-0.5859
55,55,2019-05-03,18:20:15+0000,"Despite low inflation and White House cajoling, Fed officials continued to suggest a path of inaction on interest rates.","{'neg': 0.092, 'neu': 0.688, 'pos': 0.221, 'compound': 0.4242}","{'neg': 0.092, 'neu': 0.688, 'pos': 0.221, 'compound': 0.4242}",0.092,0.688,0.221,0.4242
56,56,2019-05-15,20:32:07+0000,Numerous corporations have been fined in recent years for misconduct. The question is whether the large penalties deter bad behavior.,"{'neg': 0.156, 'neu': 0.844, 'pos': 0.0, 'compound': -0.5423}","{'neg': 0.156, 'neu': 0.844, 'pos': 0.0, 'compound': -0.5423}",0.156,0.844,0.0,-0.5423
57,57,2019-03-12,14:15:58+0000,"Goldman Sachs helped the Malaysian fund, known as 1MDB, sell billions of dollars of debt to investors. One of the bankers has pleaded guilty in a fraud investigation related to the work.","{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.8442}","{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.8442}",0.245,0.755,0.0,-0.8442
58,58,2019-03-29,03:13:36+0000,"Between trade, taxes and the Federal Reserve, President Trump is getting what we wants in the economy. But it may not last.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
59,59,2019-05-10,08:30:18+0000,"Stocks recovered on Friday as President Trump’s tariff increase on Chinese goods went into effect, but the S&P 500 dropped 2.2 percent this week.","{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.1655}","{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.1655}",0.0,0.933,0.067,0.1655
60,60,2019-06-11,04:50:29+0000,"Concluding that his tariff threat worked with Mexico, the president vowed to hit Beijing with more levies if it did not accede to America’s trade demands.","{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.5267}","{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.5267}",0.12,0.88,0.0,-0.5267
61,61,2019-01-03,09:22:04+0000,Revenue warnings from Apple and Delta Air Lines and weaker manufacturing data suggest that the economy and corporate profits are slowing more than expected.,"{'neg': 0.176, 'neu': 0.724, 'pos': 0.1, 'compound': -0.296}","{'neg': 0.176, 'neu': 0.724, 'pos': 0.1, 'compound': -0.296}",0.176,0.724,0.1,-0.296
62,62,2019-02-28,10:00:11+0000,The pace slowed from midyear after losing the momentum generated by tax cuts.,"{'neg': 0.304, 'neu': 0.696, 'pos': 0.0, 'compound': -0.5859}","{'neg': 0.304, 'neu': 0.696, 'pos': 0.0, 'compound': -0.5859}",0.304,0.696,0.0,-0.5859
63,63,2019-04-30,05:04:43+0000,"Mr. Rosenstein will step down as deputy attorney general in mid-May, ending a turbulent tenure overshadowed by the Mueller investigation.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
64,64,2019-03-14,11:07:21+0000,"Mr. O’Rourke joined the race for president this morning, bringing his relentless campaign style and legion of donors.","{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.0516}","{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.0516}",0.0,0.934,0.066,0.0516
65,65,2019-06-03,20:27:05+0000,"President Trump’s plans to increase tariffs on imports from Mexico and China would wipe out the benefits of his signature tax cuts for the poorest Americans, analyses show.","{'neg': 0.165, 'neu': 0.694, 'pos': 0.142, 'compound': -0.2023}","{'neg': 0.165, 'neu': 0.694, 'pos': 0.142, 'compound': -0.2023}",0.165,0.694,0.142,-0.2023
66,66,2019-02-07,13:08:02+0000,"If approved, the merger of BB&T and SunTrust would create the sixth-biggest bank in the U.S., large enough to compete against the country’s largest lenders.","{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.5994}","{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.5994}",0.0,0.824,0.176,0.5994
67,67,2019-05-30,17:43:30+0000,"Richard Clarida, the Fed’s vice chairman, said persistently low inflation or worsening global economic risks could make officials reconsider their patience.","{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.7351}","{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.7351}",0.286,0.714,0.0,-0.7351
68,68,2019-06-01,01:07:23+0000,The nation’s highest civilian award will go in June to an economist who has shaped decades of Republican tax policy.,"{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.5423}","{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.5423}",0.0,0.844,0.156,0.5423
69,69,2019-03-05,00:13:52+0000,The United States is poised to roll back most of its tariffs as part of a trade deal with China but farmers and businesses wonder if the cost of the trade war was worth it.,"{'neg': 0.133, 'neu': 0.746, 'pos': 0.121, 'compound': -0.5423}","{'neg': 0.133, 'neu': 0.746, 'pos': 0.121, 'compound': -0.5423}",0.133,0.746,0.121,-0.5423
70,70,2019-04-12,17:44:05+0000,"JPMorgan Chase and PNC Financial Services Group reported growth in the first quarter, despite a federal government shutdown that lasted for most of January.","{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3818}","{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3818}",0.0,0.894,0.106,0.3818
71,71,2019-04-03,00:02:08+0000,"Ethical and financial problems have surfaced in recent days, but Stephen Moore said the White House was “100 percent” behind his nomination.","{'neg': 0.077, 'neu': 0.833, 'pos': 0.09, 'compound': 0.0772}","{'neg': 0.077, 'neu': 0.833, 'pos': 0.09, 'compound': 0.0772}",0.077,0.833,0.09,0.0772
72,72,2019-06-27,20:30:03+0000,"The Federal Reserve said the largest banks were generally well prepared to withstand a severe crisis, although Credit Suisse must improve its operations.","{'neg': 0.208, 'neu': 0.497, 'pos': 0.295, 'compound': 0.2023}","{'neg': 0.208, 'neu': 0.497, 'pos': 0.295, 'compound': 0.2023}",0.208,0.497,0.295,0.2023
73,73,2019-05-31,08:39:01+0000,"Stocks fell more than 6 percent in May, as threats to the global economy seemed to proliferate by the week, with tariffs rising and talks yielding no meaningful results.","{'neg': 0.155, 'neu': 0.774, 'pos': 0.071, 'compound': -0.4019}","{'neg': 0.155, 'neu': 0.774, 'pos': 0.071, 'compound': -0.4019}",0.155,0.774,0.071,-0.4019
74,74,2019-06-21,14:18:50+0000,Consumer advocates say the overdraft rule has helped people avoid excessive penalties — like the cup of coffee that ends up costing $38.,"{'neg': 0.089, 'neu': 0.81, 'pos': 0.101, 'compound': 0.0772}","{'neg': 0.089, 'neu': 0.81, 'pos': 0.101, 'compound': 0.0772}",0.089,0.81,0.101,0.0772
75,75,2019-03-09,08:00:05+0000,"Americans are still scarred by the financial crisis, and the fruits of this decade’s record-breaking rally fell mostly to the rich.","{'neg': 0.154, 'neu': 0.712, 'pos': 0.135, 'compound': -0.128}","{'neg': 0.154, 'neu': 0.712, 'pos': 0.135, 'compound': -0.128}",0.154,0.712,0.135,-0.128
76,76,2019-05-02,09:00:08+0000,"For people without a college degree, finding work that offers decent pay can be a challenge. The solution may require a change in scenery.","{'neg': 0.061, 'neu': 0.783, 'pos': 0.157, 'compound': 0.296}","{'neg': 0.061, 'neu': 0.783, 'pos': 0.157, 'compound': 0.296}",0.061,0.783,0.157,0.296
77,77,2019-01-07,08:59:59+0000,Investors have grown worried about the potential economic impact of the trade war. Progress on talks between the United States and China could be a catalyst for more gains.,"{'neg': 0.163, 'neu': 0.615, 'pos': 0.222, 'compound': 0.2944}","{'neg': 0.163, 'neu': 0.615, 'pos': 0.222, 'compound': 0.2944}",0.163,0.615,0.222,0.2944
78,78,2019-01-04,10:55:38+0000,"Investors were heartened after the Fed chairman, Jerome H. Powell, said policymakers would adjust plans as data warranted, and a report showed robust job growth in December.","{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.6124}","{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.6124}",0.0,0.828,0.172,0.6124
79,79,2019-01-04,10:00:09+0000,"Market watchers are divided on whether the current slump will be prolonged or a blip, and history doesn’t offer a clear answer. Expect turbulence.","{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.3818}","{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.3818}",0.0,0.89,0.11,0.3818
80,80,2019-01-04,10:00:09+0000,"Market watchers are divided on whether the current slump will be prolonged or a blip, and history doesn’t offer a clear answer. Expect turbulence.","{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.3818}","{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.3818}",0.0,0.89,0.11,0.3818
81,81,2019-01-31,05:26:42+0000,"President Trump lashed out at U.S. intelligence agencies, putting them in the awkward position of being at odds with the commander in chief over Iran and North Korea.","{'neg': 0.052, 'neu': 0.847, 'pos': 0.101, 'compound': 0.3612}","{'neg': 0.052, 'neu': 0.847, 'pos': 0.101, 'compound': 0.3612}",0.052,0.847,0.101,0.3612
